66,Feed Dog -50282,Pcs,,,,,0,,,,,,,,,,,,
67,Pressure Bar -5125744,Pcs,,,,,0,,,,,,,,,,,,
68,Looper  Avoid -29476NM-096,Pcs,5,,,,5,,,,,,,,,,,,
69,Looper Rocker-56344B,Pcs,7,,,,7,,,,,,,,,,,,
70,Looper Driver  Lever -56342E,Pcs,1,,,,1,,,,,,,,,,,,
71,Looper Holder Collar -773081,Pcs,11,,,,11,,,,,,,,,,,,
72,Bearing Case Assy -294761V,Pcs,16,,,,16,,,,,,,,,,,,
73,Pressure Foot Assy -772091A,Pcs,6,,,,6,,,,,,,,,,,,
74,Looper Driver  Lever -29105AK ,Pcs,1,,,,1,,,,,,,,,,,,
75,Needle Guard -774121,Pcs,11,,,,11,,,,,,,,,,,,
76,Looper Rocker -56344C,Pcs,2,,,,2,,,,,,,,,,,,
77,Needle Roller -51216M,Pcs,222,,,,222,,,,,,,,,,,,
78,Tention  Post -51292,Pcs,4,,,,4,,,,,,,,,,,,
79,Link Pin 5236A,Pcs,28,,,,28,,,,,,,,,,,,
80,Feed Bar Shaft 56334B,Pcs,,,,,0,,,,,,,,,,,,
81,Needle Thread -35043,Pcs,,,,,0,,,,,,,,,,,,
82,Needle Thread Take -772101,Pcs,1,,,,1,,,,,,,,,,,,
83,Over Load Knife Set,Pcs,,,,,0,,,,,,,,,,,,
84,Allen Key Screw,Pcs,,,,,0,,,,,,,,,,,,
85, sewing Needle all size ,Pcs,391,,,,391,,,,,,,,,,,,
86,Pressure Foot -772151,Pcs,4,,,,4,,,,,,,,,,,,
87,Cone -15465F,Pcs,19,,,,19,,,,,,,,,,,,
88,Feed Crank-56316,Pcs,,,,,0,,,,,,,,,,,,
89,Pressure Foot -772151A,Pcs,7,,,,7,,,,,,,,,,,,
90,Needle Lever /Connecting Rod -56316,Pcs,10,,,,10,,,,,,,,,,,,
91,Air Nojjel ,Pcs,6,,,,6,,,,,,,,,,,,
92,Ferrul -56341F ,Pcs,15,,,,15,,,,,,,,,,,,
93,Tention Post -51192G,Pcs,7,,,,7,,,,,,,,,,,,
94,Link Pin 52336A,Pcs,,,,,0,,,,,,,,,,,,
95,Needle Holder -772081,Pcs,47,,,,47,,,,,,,,,,,,
96,Looper Threat Take-56123,Pcs,1,,,,1,,,,,,,,,,,,
97,Connecting Rod -56316C,Pcs,6,,,,6,,,,,,,,,,,,
98,Compressur Spring -1150190300,Pcs,2,,,,2,,,,,,,,,,,,
99,Tall Bush ,Pcs,1,,,,1,,,,,,,,,,,,
100,Looper Rocket Shaft ,Pcs,,,,,0,,,,,,,,,,,,
101,Screw-22528,Pcs,71,,,,71,,,,,,,,,,,,
102,Screw-98A,Pcs,8,,,,8,,,,,,,,,,,,
103,Screw-22839C,Pcs,37,,,,37,,,,,,,,,,,,
104,Screw-22894D,Pcs,75,,,,75,,,,,,,,,,,,
105,Screw-77,Pcs,30,,,,30,,,,,,,,,,,,
106,Screw-22882C,Pcs,15,,,,15,,,,,,,,,,,,
107,Screw-22894C,Pcs,,,,,0,,,,,,,,,,,,
108,Screw-22758C,Pcs,17,,,,17,,,,,,,,,,,,
109,Screw-22524,Pcs,102,,,,102,,,,,,,,,,,,
110,Screw-73,Pcs,12,,,,12,,,,,,,,,,,,
111,Screw-89,Pcs,69,,,,69,,,,,,,,,,,,
112,Screw-22543B,Pcs,12,,,,12,,,,,,,,,,,,
113,Screw-9/64540052,Pcs,10,,,,10,,,,,,,,,,,,
114,Screw-D90,Pcs,15,,,,15,,,,,,,,,,,,
115,Screw-91D,Pcs,8,,,,8,,,,,,,,,,,,
116,Screw-80,Pcs,37,,,,37,,,,,,,,,,,,
117,Screw-22829,Pcs,91,,,,91,,,,,,,,,,,,
118,Screw-18254002,Pcs,83,,,,83,,,,,,,,,,,,
119,Screw-22801,Pcs,18,,,,18,,,,,,,,,,,,
120,Screw-22874,Pcs,4,,,,4,,,,,,,,,,,,
121,Screw-22557G,Pcs,2,,,,2,,,,,,,,,,,,
122,Screw-87,Pcs,28,,,,28,,,,,,,,,,,,
123,Screw-22839C,Pcs,,,,,0,,,,,,,,,,,,
124,Screw-22637P-24,Pcs,18,,,,18,,,,,,,,,,,,
125,Alumnium Finger ,Pcs,,,,,0,,,,,,,,,,,,
126,Looper Connecting -502780,Pcs,,,,,0,,,,,,,,,,,,
127,Alumnium Pinium ,Pcs,5,,,,5,,,,,,,,,,,,
128,Alumnium Pinium ,Pcs,10,,,,10,,,,,,,,,,,,
129,Needle Bar Shaft,Pcs,,,,,0,,,,,,,,,,,,
130,Coupling -56343F ,Pcs,6,,,,6,,,,,,,,,,,,
131,Feed Bar -774131,Pcs,1,,,,1,,,,,,,,,,,,
132,Spare Parts -D04003,Pcs,,,,,0,,,,,,,,,,,,
133,Stud,Pcs,9,,,,9,,,,,,,,,,,,
134,CirClip ,Pcs,166,,,,166,,,,,,,,,,,,
135,Main Shaft -56122A,Pcs,,,,,0,,,,,,,,,,,,
136,Bushing Main Shaft -56390,Pcs,8,,,,8,,,,,,,,,,,,
137,Needle Bar Bushing -51154E,Pcs,6,,,,6,,,,,,,,,,,,
138,Feed Crank Link Assy-56336B,Pcs,1,,,,1,,,,,,,,,,,,
139,Link Ball -B699059136,Pcs,4,,,,4,,,,,,,,,,,,
140,Looper Divier Lever-56342E,Pcs,1,,,,1,,,,,,,,,,,,
141,Looper Rocker Shaft Bushing ,Pcs,5,,,,5,,,,,,,,,,,,
142,Oik Felt ,Pcs,10,,,,10,,,,,,,,,,,,
143,Treat Cutter ,Pcs,21,,,,21,,,,,,,,,,,,
144,Screw -22653L,Pcs,35,,,,35,,,,,,,,,,,,
145,Screw-22559G,Pcs,8,,,,8,,,,,,,,,,,,
146,Screw-22525A,Pcs,5,,,,5,,,,,,,,,,,,
147,Feed Dog ,Pcs,13,,,,13,,,,,,,,,,,,
148,Lifter Lever,Pcs,4,,,,4,,,,,,,,,,,,
149,Oil Pum-59493A,Pcs,2,,,,2,,,,,,,,,,,,
150,Feed Dog Holder Nut -563342,Pcs,3,,,,3,,,,,,,,,,,,
151,Screw-50266,Pcs,30,,,,30,,,,,,,,,,,,
152,Looper Drving Lever-1100150-950,Pcs,8,,,,8,,,,,,,,,,,,
153,Needle Thread Controller-035043,Pcs,2,,,,2,,,,,,,,,,,,
154,Link Pin -52336A,Pcs,20,,,,20,,,,,,,,,,,,
155,Link Pin-52336A,Pcs,20,,,,20,,,,,,,,,,,,
156,SEWING Needle H 202295,Pcs,14,,,,14,,,,,,,,,,,,
157,SEWING Needle 40*1970,Pcs,6,,,,6,,,,,,,,,,,,
158,Main Shafy Bush 56190,Pcs,2,,,,2,,,,,,,,,,,,
159,Pressure Bar Conncction Guide 51257M,Pcs,3,,,,3,,,,,,,,,,,,
160,Tension Disc109,Pcs,40,,,,40,,,,,,,,,,,,
161,Ferrul F2-511923,Pcs,7,,,,7,,,,,,,,,,,,
162,Tension Thread Eyelet-51192G,Pcs,14,,,,14,,,,,,,,,,,,
163,Tension Post  Eyelet-51192G,Pcs,10,,,,10,,,,,,,,,,,,
164,Tension Spring 51292F,Pcs,5,,,,5,,,,,,,,,,,,
165,Looper Drive Rocket -773071,Pcs,7,,,,7,,,,,,,,,,,,
166,Feed Crank Stud-56336,Pcs,5,,,,5,,,,,,,,,,,,
167,Feed Dog 774158,Pcs,9,,,,9,,,,,,,,,,,,
168,Throad  Plate 774148,Pcs,3,,,,3,,,,,,,,,,,,
169,Pressure Foot Stud -56334L,Pcs,21,,,,21,,,,,,,,,,,,
170,Looper 773091,Pcs,6,,,,6,,,,,,,,,,,,
171,Puessure Bar Bushing 032211,Pcs,13,,,,13,,,,,,,,,,,,
172,Needle Lever ball Joint 772031A,Pcs,1,,,,1,,,,,,,,,,,,
